RA,Nome,Fase,Turma,Ano_Nascimento,Idade,Gênero,Ano_Ingresso,IAA,IEG,IPS,IDA,IPV,IAN,INDE,Pedra,Defas,Ponto_de_Virada,Matem,Portug,Inglês,Pedra_Calculada,Gap_IAA_IDA,Media_Academica,RISCO,Faixa_Etaria,Tempo_Programa
RA-576,Aluno-576,1,J,2012,10,Menina,2022,9.5,9.1,7.5,7.8,7.111,5.0,7.59,Ametista,-1,0,7.5,8.0,,Ametista,1.7000000000000002,8.45,0,Criança (até 10),0
RA-577,Aluno-577,1,J,2012,10,Menina,2022,9.5,9.3,7.5,9.0,7.111,5.0,7.862,Ametista,-1,0,8.3,9.7,,Ametista,0.5,9.15,0,Criança (até 10),0
RA-578,Aluno-578,1,J,2012,10,Menino,2019,9.5,10.0,8.8,9.5,9.611,5.0,8.814,Topázio,-1,1,9.3,9.7,,Topázio,0.0,9.75,0,Criança (até 10),3
RA-579,Aluno-579,1,J,2012,10,Menina,2022,8.5,5.8,7.5,3.8,7.222,5.0,6.067,Ágata,-1,0,0.0,7.5,,Ágata,4.7,4.8,1,Criança (até 10),0
RA-580,Aluno-580,1,J,2012,10,Menina,2020,8.0,9.6,7.5,7.6,7.167,5.0,7.525,Ametista,-1,0,6.3,8.8,,Ametista,0.40000000000000036,8.6,0,Criança (até 10),2
RA-581,Aluno-581,1,J,2012,10,Menino,2019,7.5,8.9,7.5,5.0,5.889,5.0,6.464,Ágata,-1,0,5.3,4.7,,Ágata,2.5,6.95,0,Criança (até 10),3
RA-582,Aluno-582,1,J,2012,10,Menina,2022,10.0,9.0,7.5,4.9,7.222,5.0,7.064,Ametista,-1,0,4.3,5.5,,Ametista,5.1,6.95,1,Criança (até 10),0
RA-583,Aluno-583,1,J,2010,12,Menina,2019,8.5,9.4,7.5,7.1,7.333,5.0,7.456,Ametista,-2,0,6.2,8.0,,Ametista,1.4000000000000004,8.25,0,Adolescente (11-14),3
RA-584,Aluno-584,1,J,2012,10,Menina,2019,8.0,8.5,7.5,4.6,7.333,5.0,6.714,Ágata,-1,0,4.5,4.7,,Ágata,3.4000000000000004,6.55,1,Criança (até 10),3
RA-585,Aluno-585,1,K,2013,9,Menina,2020,8.5,9.1,7.5,5.0,6.889,10.0,7.398,Ametista,0,0,3.7,6.3,,Ametista,3.5,7.05,0,Criança (até 10),2
RA-586,Aluno-586,1,K,2012,10,Menina,2021,10.0,9.6,5.6,8.2,8.778,5.0,7.988,Ametista,-1,1,8.2,8.2,,Ametista,1.8000000000000007,8.899999999999999,0,Criança (até 10),1
RA-587,Aluno-587,1,K,2012,10,Menino,2022,9.5,9.3,7.5,3.8,6.167,5.0,6.632,Ágata,-1,0,1.0,6.5,,Ágata,5.7,6.550000000000001,1,Criança (até 10),0
RA-588,Aluno-588,1,K,2013,9,Menina,2021,9.5,10.0,5.6,9.3,8.278,10.0,8.622,Topázio,0,0,9.3,9.2,,Topázio,0.1999999999999993,9.65,0,Criança (até 10),1
RA-589,Aluno-589,1,K,2013,9,Menina,2022,9.5,9.4,7.5,5.8,7.056,10.0,7.744,Ametista,0,0,3.0,8.5,,Ametista,3.7,7.6,0,Criança (até 10),0
RA-590,Aluno-590,1,K,2012,10,Menina,2020,8.5,8.6,7.5,7.4,7.611,5.0,7.435,Ametista,-1,0,5.7,9.2,,Ametista,1.0999999999999996,8.0,0,Criança (até 10),2
RA-591,Aluno-591,1,K,2011,11,Menino,2021,9.5,9.3,7.5,7.1,7.389,5.0,7.507,Ametista,-1,0,7.8,6.3,,Ametista,2.4000000000000004,8.2,0,Adolescente (11-14),1
RA-592,Aluno-592,1,K,2012,10,Menina,2020,8.0,8.5,5.6,8.4,7.778,5.0,7.381,Ametista,-1,0,7.2,9.7,,Ametista,-0.40000000000000036,8.45,0,Criança (até 10),2
RA-593,Aluno-593,1,K,2012,10,Menina,2021,7.5,7.4,7.5,4.6,6.278,5.0,6.254,Ágata,-1,0,3.0,6.2,,Ágata,2.9000000000000004,6.0,1,Criança (até 10),1
RA-594,Aluno-594,1,K,2012,10,Menino,2022,8.0,9.4,7.5,7.8,6.889,5.0,7.392,Ametista,-1,0,6.0,9.5,,Ametista,0.20000000000000018,8.6,0,Criança (até 10),0
RA-595,Aluno-595,1,K,2010,12,Menino,2018,8.5,5.5,7.5,1.0,6.0,5.0,5.18,Quartzo,-2,0,2.0,0.0,,Quartzo,7.5,3.25,1,Adolescente (11-14),4
RA-596,Aluno-596,1,K,2013,9,Menina,2021,9.5,10.0,7.5,9.3,9.0,10.0,8.971,Topázio,0,1,8.8,9.8,,Topázio,0.1999999999999993,9.65,0,Criança (até 10),1
RA-597,Aluno-597,1,L,2013,9,Menino,2022,9.0,10.0,7.5,8.0,7.056,10.0,8.265,Topázio,0,0,6.5,9.5,,Topázio,1.0,9.0,0,Criança (até 10),0
RA-598,Aluno-598,1,L,2011,11,Menina,2022,9.5,7.2,7.5,3.7,6.944,5.0,6.35,Ágata,-1,0,4.7,2.7,,Ágata,5.8,5.45,1,Adolescente (11-14),0
RA-599,Aluno-599,1,L,2012,10,Menino,2022,9.5,9.2,7.5,9.1,8.556,5.0,8.2,Topázio,-1,1,8.3,9.8,,Ametista,0.40000000000000036,9.149999999999999,0,Criança (até 10),0
RA-600,Aluno-600,1,L,2013,9,Menina,2021,8.5,8.4,7.5,3.9,6.833,10.0,7.011,Ágata,0,0,2.8,5.0,,Ametista,4.6,6.15,1,Criança (até 10),1
RA-601,Aluno-601,1,L,2014,8,Menino,2021,9.0,9.7,7.5,5.7,7.167,10.0,7.713,Ametista,1,0,5.3,6.0,,Ametista,3.3,7.699999999999999,1,Criança (até 10),1
RA-602,Aluno-602,1,L,2011,11,Menino,2019,10.0,9.7,7.5,8.6,7.667,5.0,8.041,Ametista,-1,0,8.3,8.8,,Ametista,1.4000000000000004,9.149999999999999,0,Adolescente (11-14),3
RA-603,Aluno-603,1,L,2011,11,Menina,2022,9.0,9.5,7.5,7.5,8.0,5.0,7.78,Ametista,-1,0,6.7,8.3,,Ametista,1.5,8.5,0,Adolescente (11-14),0
RA-604,Aluno-604,1,L,2012,10,Menina,2021,9.0,9.0,7.5,8.8,8.333,5.0,8.018,Ametista,-1,0,8.0,9.7,,Ametista,0.1999999999999993,8.9,0,Criança (até 10),1
RA-605,Aluno-605,1,L,2010,12,Menina,2021,6.9,9.3,6.9,7.1,7.556,5.0,7.276,Ametista,-2,0,6.2,8.0,,Ametista,-0.1999999999999993,8.2,0,Adolescente (11-14),1
RA-606,Aluno-606,1,L,2012,10,Menino,2022,9.5,9.0,7.5,1.8,6.111,5.0,6.127,Ágata,-1,0,2.0,1.5,,Ágata,7.7,5.4,1,Criança (até 10),0
RA-607,Aluno-607,1,L,2012,10,Menino,2022,6.8,8.1,7.5,4.0,7.444,5.0,6.44,Ágata,-1,0,3.0,5.0,,Ágata,2.8,6.05,1,Criança (até 10),0
RA-608,Aluno-608,1,L,2012,10,Menino,2022,7.8,9.6,7.5,6.3,7.222,5.0,7.216,Ametista,-1,0,3.0,9.5,,Ametista,1.5,7.949999999999999,0,Criança (até 10),0
